depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Parchim,2025-06-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,172,129,6,37,39,0.9555555555555556,24,102,458.50523686408997,7899.1094115515,3045.586701584791,1.1109118138570118,209,75,58,0.5639097744360902,Gurobi.Optimizer
VLP Parchim,2025-06-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,167,133,0,34,38,1.0,23,102,368.53362941741943,8364.550390785953,2797.060590605489,1.1236199910689753,201,75,54,0.5813953488372093,Gurobi.Optimizer
VLP Parchim,2025-06-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,157,115,5,37,40,0.9583333333333334,0,102,210.46410250663757,0.0,0.0,0.0,194,62,55,0.5299145299145299,Gurobi.Optimizer
VLP Parchim,2025-06-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,141,120,1,20,23,0.9917355371900827,23,102,225.26385021209717,7530.06088545137,2696.924442545198,1.009771598798877,161,56,62,0.4745762711864407,Gurobi.Optimizer
VLP Parchim,2025-06-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,81,2,24,26,0.9759036144578314,22,102,126.30694913864136,6639.338925341203,2097.090126458006,1.2123793287904585,131,45,36,0.5555555555555556,Gurobi.Optimizer
VLP Parchim,2025-06-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,161,125,0,36,36,1.0,24,102,543.1665337085724,8705.482617830443,3007.7595346786734,0.9885695275608307,197,73,52,0.584,Gurobi.Optimizer
VLP Parchim,2025-07-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,151,116,6,29,31,0.9508196721311475,0,102,164.71635603904724,0.0,0.0,0.0,180,60,60,0.5,Gurobi.Optimizer
VLP Parchim,2025-07-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,144,108,0,36,39,1.0,21,102,171.25397562980652,7239.5433339942065,2792.159147938133,1.122485219985432,180,53,52,0.5047619047619047,Gurobi.Optimizer
VLP Parchim,2025-07-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,159,128,0,31,35,1.0,23,102,290.38713693618774,8698.04086916427,3077.2142562646723,1.0530911882409761,190,62,62,0.5,Gurobi.Optimizer
VLP Parchim,2025-07-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,151,121,0,30,31,1.0,27,102,174.44585609436035,7999.943187327748,2754.2780015178046,1.0936683738959145,181,53,67,0.44166666666666665,Gurobi.Optimizer
VLP Parchim,2025-07-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,149,118,4,27,30,0.9672131147540983,24,102,299.1565978527069,6755.367269566354,1886.288291342505,1.3586085302370179,176,49,70,0.4117647058823529,Gurobi.Optimizer
VLP Parchim,2025-07-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,100,74,2,24,26,0.9736842105263158,19,102,45.239219188690186,5709.138903610022,2082.6314318193645,1.059321567232271,124,35,39,0.47297297297297297,Gurobi.Optimizer
VLP Parchim,2025-07-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,137,114,1,22,26,0.991304347826087,20,102,152.48354196548462,6652.579816170758,2222.3827035588347,1.1750720480154944,159,61,50,0.5495495495495496,Gurobi.Optimizer
VLP Parchim,2025-07-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,139,113,1,25,28,0.9912280701754386,20,102,135.85961508750916,6910.702946077244,2440.3464025598205,1.1197712083130027,164,57,54,0.5135135135135135,Gurobi.Optimizer
VLP Parchim,2025-07-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,143,106,0,37,38,1.0,21,102,237.99755477905273,7174.729963906451,2407.382493851067,1.08182856098193,180,59,46,0.5619047619047619,Gurobi.Optimizer
VLP Parchim,2025-07-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,156,126,1,29,31,0.9921259842519685,24,102,264.4536418914795,7765.926496921968,2812.645514182288,1.1169289251288872,185,65,60,0.52,Gurobi.Optimizer
VLP Parchim,2025-07-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,163,115,3,45,46,0.9745762711864406,23,102,246.25690984725952,7486.622434712197,2385.702202416552,1.2010898096783937,208,71,46,0.6068376068376068,Gurobi.Optimizer
VLP Parchim,2025-07-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,136,109,1,26,28,0.990909090909091,21,102,127.9929723739624,6996.632123357264,2412.7695378512644,1.2168277426749465,162,68,40,0.6296296296296297,Gurobi.Optimizer
VLP Parchim,2025-07-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,58,0,20,22,1.0,15,102,51.447845697402954,4255.816344847856,1366.2700686762219,1.2289409562267717,98,28,28,0.5,Gurobi.Optimizer
VLP Parchim,2025-07-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,131,105,1,25,26,0.9905660377358491,23,102,163.2095868587494,7580.085953806864,2939.150492522541,1.1243271862438358,156,58,47,0.5523809523809524,Gurobi.Optimizer
VLP Parchim,2025-07-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,128,104,1,23,24,0.9904761904761905,21,102,124.83039045333862,6743.58956506114,2369.744504574035,1.0626420958503884,151,66,38,0.6346153846153846,Gurobi.Optimizer
VLP Parchim,2025-07-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,155,129,0,26,27,1.0,0,102,333.5645594596863,0.0,0.0,0.0,181,72,56,0.5625,Gurobi.Optimizer
VLP Parchim,2025-07-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,169,138,0,31,33,1.0,22,102,734.0806279182434,8071.127492807954,2643.345729672373,1.183217465214281,200,65,71,0.47794117647058826,Gurobi.Optimizer
VLP Parchim,2025-07-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,142,117,6,19,21,0.9512195121951219,28,102,73.30934739112854,8586.625437452085,3343.260416941634,1.1814740925331824,161,61,60,0.5041322314049587,Gurobi.Optimizer
VLP Parchim,2025-07-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,154,115,9,30,30,0.9274193548387096,0,102,180.33167719841003,0.0,0.0,0.0,184,64,60,0.5161290322580645,Gurobi.Optimizer
VLP Parchim,2025-07-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,109,82,2,25,28,0.9761904761904762,19,102,79.46108770370483,6013.923815566009,2178.8800680942777,1.1800464137470568,134,57,24,0.7037037037037037,Gurobi.Optimizer
VLP Parchim,2025-07-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS,154,132,3,19,21,0.9777777777777777,27,102,168.41875219345093,9378.335210264746,3623.094899915006,1.1143965370524354,173,83,50,0.6240601503759399,Gurobi.Optimizer
VLP Parchim,2025-07-22,CAPACITY_CONSTRAINT_DRIVER_BREAKS,158,125,2,31,34,0.984251968503937,23,102,498.96155428886414,7682.457366349379,2336.123209078047,1.123418328083275,189,81,43,0.6532258064516129,Gurobi.Optimizer
VLP Parchim,2025-07-23,CAPACITY_CONSTRAINT_DRIVER_BREAKS,137,105,0,32,34,1.0,19,102,215.386727809906,6701.38397786785,2308.7821418863787,1.0775828174240856,169,68,35,0.6601941747572816,Gurobi.Optimizer
VLP Parchim,2025-07-24,CAPACITY_CONSTRAINT_DRIVER_BREAKS,143,112,1,30,32,0.9911504424778761,22,102,157.74668645858765,7230.503794116886,2385.181327618603,1.0505298710604385,173,71,40,0.6396396396396397,Gurobi.Optimizer
VLP Parchim,2025-07-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,152,129,3,20,26,0.9772727272727273,26,102,140.29728364944458,8285.43966188937,2780.224348089312,1.0762221860149424,172,55,71,0.4365079365079365,Gurobi.Optimizer
VLP Parchim,2025-07-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,121,94,4,23,25,0.9591836734693877,19,102,85.2611517906189,6518.685427232634,2117.371220664541,1.023256671121016,144,65,31,0.6770833333333334,Gurobi.Optimizer
VLP Parchim,2025-07-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,73,53,0,20,20,1.0,17,102,31.554750442504883,4819.663594319091,1775.47976598434,0.9580528136523926,93,41,12,0.7735849056603774,Gurobi.Optimizer
VLP Parchim,2025-07-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,178,142,0,36,36,1.0,26,102,724.5750577449799,8932.296267739363,2767.4424465989923,1.2219713004441124,214,88,54,0.6197183098591549,Gurobi.Optimizer
VLP Parchim,2025-07-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,189,153,0,36,38,1.0,29,102,343.2553904056549,10592.722754551382,3129.184849963777,1.1417136360138282,225,94,57,0.6225165562913907,Gurobi.Optimizer
VLP Parchim,2025-07-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,168,131,0,37,37,1.0,26,102,434.88776779174805,8848.911837770389,3183.107655899476,1.0640076827061642,205,79,52,0.6030534351145038,Gurobi.Optimizer
VLP Parchim,2025-07-31,CAPACITY_CONSTRAINT_DRIVER_BREAKS,185,156,0,29,30,1.0,29,102,352.3388772010803,10166.368747180384,3572.215300192354,1.0954569281227335,214,91,64,0.5870967741935483,Gurobi.Optimizer
VLP Parchim,2025-08-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,191,148,3,40,43,0.9801324503311258,27,102,836.847724199295,8796.41538274839,2803.525312620588,1.1928989432536294,231,74,74,0.5,Gurobi.Optimizer
VLP Parchim,2025-08-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,141,110,2,29,32,0.9821428571428571,25,102,76.28708219528198,6861.964379241516,2059.346647683901,1.106681317540008,170,61,48,0.5596330275229358,Gurobi.Optimizer
VLP Parchim,2025-08-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,92,56,9,27,32,0.8615384615384616,0,102,46.89124393463135,0.0,0.0,0.0,119,43,17,0.7166666666666667,Gurobi.Optimizer
VLP Parchim,2025-08-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,159,117,1,41,41,0.9915254237288136,24,102,628.4885144233704,7664.168940246643,2787.8769098980706,1.1854640309830862,200,71,47,0.6016949152542372,Gurobi.Optimizer
VLP Parchim,2025-08-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,176,149,2,25,28,0.9867549668874173,26,102,381.9765167236328,9503.413287435256,3268.577968125727,1.1578099907484622,201,89,59,0.6013513513513513,Gurobi.Optimizer
VLP Parchim,2025-08-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,171,136,1,34,36,0.9927007299270073,29,102,237.78917145729065,10066.583481808639,3850.095432709825,1.1595283168621457,205,80,55,0.5925925925925926,Gurobi.Optimizer
VLP Parchim,2025-08-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,185,140,2,43,44,0.9859154929577465,28,102,821.7629027366638,8460.24236141216,2265.2691605131504,1.191256311832077,228,84,57,0.5957446808510638,Gurobi.Optimizer
VLP Parchim,2025-08-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,204,169,0,35,39,1.0,26,102,779.9380784034729,9534.673056561222,2988.92684415343,1.2808588860341095,239,94,71,0.5696969696969697,Gurobi.Optimizer
VLP Parchim,2025-08-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,128,106,1,21,23,0.9906542056074766,24,102,75.43145394325256,7196.10696754254,2056.6581449930327,1.2333521688796845,149,57,48,0.5428571428571428,Gurobi.Optimizer
VLP Parchim,2025-08-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,81,59,3,19,22,0.9516129032258065,20,102,44.04987192153931,4982.558597440078,1507.660569528598,0.9842905665386693,100,34,25,0.576271186440678,Gurobi.Optimizer
VLP Parchim,2025-08-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,181,144,0,37,40,1.0,0,102,380.1823012828827,0.0,0.0,0.0,218,90,51,0.6382978723404256,Gurobi.Optimizer
VLP Parchim,2025-08-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,186,154,0,32,35,1.0,28,102,385.50975704193115,9086.981781281247,2848.2706681141194,1.1732363712323344,218,81,70,0.5364238410596026,Gurobi.Optimizer
VLP Parchim,2025-08-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,179,150,0,29,35,1.0,30,102,479.06327056884766,10378.880105795142,3557.4305278398874,1.1885849198597815,208,77,67,0.5347222222222222,Gurobi.Optimizer
VLP Parchim,2025-08-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,206,161,0,45,50,1.0,25,102,929.7404887676239,9210.379462962119,2888.317694538696,1.30073556566674,251,82,74,0.5256410256410257,Gurobi.Optimizer
VLP Parchim,2025-08-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,178,128,2,48,51,0.9846153846153847,25,102,811.2704675197601,8177.709858054447,2567.6385791854523,1.1187223627214704,226,83,44,0.6535433070866141,Gurobi.Optimizer
