depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,total_demand_coverage,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap
VLP Boizenburg,2024-08-22,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ALL_LINES,1.0,Optimal,0.19773149490356445,18,55,0.0,22589.005878477663,7247.186440828812,0.3766288742241985,0.0
VLP Boizenburg,2024-08-22,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,1.0,Optimal,0.009715795516967773,8,55,0.0,8125.6422033973995,2777.8916193857285,0.8519211203066521,0.0
VLP Boizenburg,2024-08-22,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ONLY_DEMAND,1.0,Optimal,0.019924640655517578,7,55,0.0,7216.683229309109,3740.0834514472467,1.5429761626600358,0.0
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT,ALL_LINES,1.0,TIME_LIMIT,3607.1491181850433,0,110,0.0,0.0,0.0,0.0,
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,1.0,TIME_LIMIT,3601.311226606369,0,110,0.0,0.0,0.0,0.0,
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT,ONLY_DEMAND,1.0,TIME_LIMIT,3600.5121397972107,0,110,0.0,0.0,0.0,0.0,
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES,1.0,Infeasible,0.45250773429870605,0,102,0.0,0.0,0.0,0.0,
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES_WITH_DEMAND,1.0,Optimal,129.15890169143677,22,102,0.0,8340.325879833137,3033.7727723838166,1.2373140927350519,0.0
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,1.0,Optimal,64.73186612129211,16,102,0.0,6017.611626261972,2424.6062618588003,1.7263751870872028,0.0
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES,1.0,Infeasible,0.08053755760192871,0,18,0.0,0.0,0.0,0.0,
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES_WITH_DEMAND,1.0,Infeasible,0.01911020278930664,0,18,0.0,0.0,0.0,0.0,
VLP Boizenburg,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,1.0,Infeasible,0.014522552490234375,0,18,0.0,0.0,0.0,0.0,
VLP Hagenow,2024-08-22,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ALL_LINES,1.0,Optimal,0.17448163032531738,18,55,0.0,24444.141733731125,6294.4894955437285,0.2730088959129153,0.0
VLP Hagenow,2024-08-22,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,1.0,Optimal,0.01954793930053711,10,55,0.0,11654.519053116866,4080.2713615084554,0.6998471657205279,0.0
VLP Hagenow,2024-08-22,Minimize_Busses,NO_CAPACITY_CONSTRAINT,ONLY_DEMAND,1.0,Optimal,0.027407407760620117,10,55,0.0,10143.657663078418,5144.8508099715655,1.3043879918117902,0.0
VLP Hagenow,2024-08-22,Minimize_Busses,CAPACITY_CONSTRAINT,ALL_LINES,1.0,TIME_LIMIT,3606.691517353058,0,110,0.0,0.0,0.0,0.0,
