depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Hagenow,2025-06-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,93,71,0,0,22,22,1.0,18,102,55.96283173561096,5023.043600687661,1699.9458356078496,1.087240786530976,115,43,28,0.6056338028169014,Gurobi.Optimizer
VLP Hagenow,2025-06-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,110,79,0,0,31,31,1.0,19,102,129.06569576263428,5394.549044311347,2019.248787738797,1.0609966878335235,141,40,39,0.5063291139240507,Gurobi.Optimizer
VLP Hagenow,2025-06-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,130,100,0,0,30,30,1.0,20,102,162.8301386833191,6349.943521524989,2238.3138446271487,1.0741797371944466,160,56,44,0.56,Gurobi.Optimizer
VLP Hagenow,2025-06-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,137,104,0,0,33,33,1.0,24,102,148.4769070148468,5841.190718334076,1982.3460922657232,1.2763262476566688,170,41,63,0.3942307692307692,Gurobi.Optimizer
VLP Hagenow,2025-06-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,104,79,0,0,25,25,1.0,23,102,65.21752619743347,5529.181076847698,1924.0372991070185,1.1480424530338085,129,41,38,0.5189873417721519,Gurobi.Optimizer
VLP Hagenow,2025-06-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,63,0,0,28,28,1.0,17,102,67.73296236991882,5007.798153303197,2199.789468547868,1.0326871310879215,119,31,32,0.49206349206349204,Gurobi.Optimizer
VLP Hagenow,2025-07-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,105,83,0,0,22,22,1.0,20,102,51.82855582237244,5530.781479093753,2139.1184658738443,1.1058182476661575,127,36,47,0.43373493975903615,Gurobi.Optimizer
VLP Hagenow,2025-07-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,112,82,0,0,30,30,1.0,20,102,74.20958614349365,5209.489101261212,1751.4576862605838,1.1274758031439178,142,36,46,0.43902439024390244,Gurobi.Optimizer
VLP Hagenow,2025-07-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,95,81,0,0,14,14,1.0,21,102,39.6489622592926,5957.973977712654,2252.9457144856324,1.012970223159432,109,33,48,0.4074074074074074,Gurobi.Optimizer
VLP Hagenow,2025-07-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,115,93,0,0,22,22,1.0,20,102,65.19567036628723,6008.063740508451,2102.4934217829586,1.2225382616960572,137,35,58,0.3763440860215054,Gurobi.Optimizer
VLP Hagenow,2025-07-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,143,108,0,0,35,35,1.0,24,102,94.69276523590088,6897.222316063771,2425.1424513899656,1.2651588705732497,178,56,52,0.5185185185185185,Gurobi.Optimizer
VLP Hagenow,2025-07-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,134,103,0,0,31,31,1.0,27,102,72.9273567199707,6364.885465153551,2169.4059331289523,1.4376622167400883,165,57,46,0.5533980582524272,Gurobi.Optimizer
VLP Hagenow,2025-07-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,123,88,0,0,35,35,1.0,18,102,117.99053955078125,6152.032413294809,2372.838538014814,1.0857409375768343,158,48,40,0.5454545454545454,Gurobi.Optimizer
VLP Hagenow,2025-07-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,114,87,0,0,27,27,1.0,15,102,96.65945100784302,5731.968750523858,2347.231329157394,1.2478826593616674,141,47,40,0.5402298850574713,Gurobi.Optimizer
VLP Hagenow,2025-07-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,107,84,0,0,23,23,1.0,19,102,67.41473126411438,6037.739907888108,2155.742536275664,1.1739120511497916,130,46,38,0.5476190476190477,Gurobi.Optimizer
VLP Hagenow,2025-07-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,97,78,0,0,19,19,1.0,17,102,70.00845456123352,5757.677097783503,2188.498775222105,1.0071755678876662,116,45,33,0.5769230769230769,Gurobi.Optimizer
VLP Hagenow,2025-07-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,118,91,1,0,26,26,0.9891304347826086,20,102,168.43151140213013,6376.170996302857,2384.394085696396,0.9871747687858452,144,42,50,0.45652173913043476,Gurobi.Optimizer
VLP Hagenow,2025-07-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,112,77,0,0,35,35,1.0,20,102,46.274356842041016,4628.125752723372,1495.3078130461345,1.3420411515452597,147,36,41,0.4675324675324675,Gurobi.Optimizer
VLP Hagenow,2025-07-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,89,60,0,0,29,29,1.0,17,102,64.36129689216614,4378.095944194384,1666.8695557952929,1.0447986575073909,118,38,22,0.6333333333333333,Gurobi.Optimizer
VLP Hagenow,2025-07-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,109,89,0,0,20,20,1.0,26,102,78.13614916801453,5996.034256004859,2032.4424792979055,1.0229196491704402,129,48,41,0.5393258426966292,Gurobi.Optimizer
