depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,rejected_cancellation_demands,cancelled_demands,num_cancellation_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Schwerin,2025-06-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,77,61,0,0,16,16,1.0,19,102,37.800495624542236,4791.523406660203,1777.467280544156,0.9948540943284864,93,29,32,0.47540983606557374,Gurobi.Optimizer
VLP Schwerin,2025-06-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,72,0,0,19,19,1.0,15,102,53.781213998794556,5375.223858554113,2091.701555267367,1.1454768809132867,110,37,35,0.5138888888888888,Gurobi.Optimizer
VLP Schwerin,2025-06-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,68,0,0,11,11,1.0,20,102,24.41862678527832,5603.109915629165,2357.7081130625893,1.033029283967147,90,39,29,0.5735294117647058,Gurobi.Optimizer
VLP Schwerin,2025-06-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,100,81,3,0,16,16,0.9642857142857143,17,102,45.483378887176514,4866.423520964519,1743.8448383039101,1.2768717769188853,116,25,59,0.2976190476190476,Gurobi.Optimizer
VLP Schwerin,2025-06-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,76,55,1,0,20,20,0.9821428571428571,17,102,29.60500717163086,4678.470735126581,1952.4615765147432,0.944723969538482,96,21,35,0.375,Gurobi.Optimizer
VLP Schwerin,2025-06-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,68,0,0,10,10,1.0,14,102,32.289743185043335,4406.187126551455,1446.3946493084222,1.1164785821252134,88,37,31,0.5441176470588235,Gurobi.Optimizer
VLP Schwerin,2025-07-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,82,69,0,0,13,13,1.0,17,102,32.00904083251953,5229.510689940921,2015.6386387632042,1.0177076746849725,95,28,41,0.4057971014492754,Gurobi.Optimizer
VLP Schwerin,2025-07-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,75,0,0,16,16,1.0,17,102,30.486402988433838,5240.05512680519,1994.02482363491,1.2627846636349298,107,31,44,0.41333333333333333,Gurobi.Optimizer
VLP Schwerin,2025-07-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,82,64,0,0,18,18,1.0,14,102,44.036635637283325,4536.661249583667,1608.739266454215,1.1119884089993153,100,33,31,0.515625,Gurobi.Optimizer
VLP Schwerin,2025-07-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,69,1,0,8,8,0.9857142857142858,18,102,33.05166411399841,5083.01677182214,1478.667420904988,1.2087836437632082,86,27,43,0.38571428571428573,Gurobi.Optimizer
VLP Schwerin,2025-07-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,82,67,3,1,11,12,0.9571428571428572,19,102,41.1047842502594,5037.832576866325,1692.4171765415922,1.0913377407802858,93,10,60,0.14285714285714285,Gurobi.Optimizer
VLP Schwerin,2025-07-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,57,41,1,0,15,15,0.9761904761904762,11,102,7.357599258422852,2641.578465954084,990.6686383221469,1.2568292014212317,72,22,20,0.5238095238095238,Gurobi.Optimizer
VLP Schwerin,2025-07-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,74,56,0,0,18,18,1.0,14,102,66.0219054222107,3929.9246521602836,1262.9036728486976,1.0686239208600021,92,30,26,0.5357142857142857,Gurobi.Optimizer
VLP Schwerin,2025-07-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,87,65,1,0,21,21,0.9848484848484849,19,102,59.240143060684204,5249.261360916776,2132.1142130700023,1.0288427813028116,108,38,28,0.5757575757575758,Gurobi.Optimizer
VLP Schwerin,2025-07-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,68,60,0,0,8,8,1.0,17,102,26.15009880065918,4382.775750958552,1308.0231025602693,1.0160255039460955,76,23,37,0.38333333333333336,Gurobi.Optimizer
VLP Schwerin,2025-07-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,95,77,0,0,18,18,1.0,18,102,61.99730634689331,5050.420188653531,1820.3019578374992,0.98276886857084,113,39,38,0.5064935064935064,Gurobi.Optimizer
VLP Schwerin,2025-07-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,64,0,0,14,14,1.0,21,102,27.03382158279419,5057.93674113887,1822.334336196521,1.0161148362332026,92,34,30,0.53125,Gurobi.Optimizer
VLP Schwerin,2025-07-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,95,74,0,0,21,21,1.0,19,102,59.87084150314331,5145.562903863535,1891.1619838953163,1.1955870930183081,116,22,52,0.2972972972972973,Gurobi.Optimizer
VLP Schwerin,2025-07-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,59,48,0,0,11,11,1.0,16,102,17.495725631713867,3734.2850263708865,1320.3772875860473,0.9349378827216661,70,26,22,0.5416666666666666,Gurobi.Optimizer
VLP Schwerin,2025-07-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,74,1,0,16,16,0.9866666666666667,20,102,58.20980644226074,6361.3767048494965,2718.8477437731467,1.0268361968720028,107,39,36,0.52,Gurobi.Optimizer
VLP Schwerin,2025-07-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,69,53,0,0,16,16,1.0,14,102,27.689427614212036,4212.090050080182,1828.5073737954185,1.006601323494404,85,33,20,0.6226415094339622,Gurobi.Optimizer
VLP Schwerin,2025-07-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,71,53,0,0,18,18,1.0,14,102,45.159005880355835,3755.974716812518,1439.398317744413,1.0367559766988956,89,27,26,0.5094339622641509,Gurobi.Optimizer
VLP Schwerin,2025-07-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,64,46,0,0,18,18,1.0,15,102,25.180954694747925,3728.3901323480104,1302.9898857484122,1.1849634756436216,82,29,17,0.6304347826086957,Gurobi.Optimizer
VLP Schwerin,2025-07-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,92,63,1,0,28,28,0.984375,16,102,62.536903381347656,4982.535465527319,2083.50682869758,1.1498068979908083,120,42,22,0.65625,Gurobi.Optimizer
VLP Schwerin,2025-07-19,CAPACITY_CONSTRAINT_DRIVER_BREAKS,84,67,1,0,16,16,0.9852941176470589,18,102,33.3680956363678,4720.718666372788,1491.7154517096917,1.1814654851274522,100,24,44,0.35294117647058826,Gurobi.Optimizer
VLP Schwerin,2025-07-20,CAPACITY_CONSTRAINT_DRIVER_BREAKS,76,51,1,1,23,24,0.9807692307692307,17,102,34.93225955963135,4992.167968690565,2115.749802072116,1.188793164736522,99,26,26,0.5,Gurobi.Optimizer
VLP Schwerin,2025-07-21,CAPACITY_CONSTRAINT_DRIVER_BREAKS,64,50,0,0,14,14,1.0,13,102,19.713557958602905,4121.0724245039555,1752.6674791141022,1.0773236430005284,78,24,26,0.48,Gurobi.Optimizer
VLP Schwerin,2025-07-22,CAPACITY_CONSTRAINT_DRIVER_BREAKS,80,59,0,0,21,21,1.0,16,102,43.09426832199097,4828.409710999068,1786.9043057389213,1.0759394973556653,101,31,28,0.5254237288135594,Gurobi.Optimizer
VLP Schwerin,2025-07-23,CAPACITY_CONSTRAINT_DRIVER_BREAKS,96,61,0,0,35,35,1.0,18,102,53.18909931182861,5224.533098495451,2033.5351781262975,1.0700895296624402,131,32,29,0.5245901639344263,Gurobi.Optimizer
VLP Schwerin,2025-07-24,CAPACITY_CONSTRAINT_DRIVER_BREAKS,76,59,0,0,17,17,1.0,14,102,51.067525148391724,4835.1470489997555,1882.3826510694296,1.0431682576388248,93,38,21,0.6440677966101694,Gurobi.Optimizer
VLP Schwerin,2025-07-25,CAPACITY_CONSTRAINT_DRIVER_BREAKS,77,67,0,0,10,10,1.0,20,102,35.79725742340088,4509.047639068305,1384.415682077375,1.0720161975765954,87,36,31,0.5373134328358209,Gurobi.Optimizer
VLP Schwerin,2025-07-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,56,44,2,0,10,10,0.9565217391304348,13,102,12.337186098098755,3590.748319684729,1282.2865475301724,1.0925645663513275,66,9,37,0.1956521739130435,Gurobi.Optimizer
VLP Schwerin,2025-07-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,49,41,0,0,8,8,1.0,16,102,11.732525110244751,3588.0155179949556,1139.7327847325041,1.0084446176197222,57,18,23,0.43902439024390244,Gurobi.Optimizer
VLP Schwerin,2025-07-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,56,38,0,0,18,18,1.0,13,102,20.523550987243652,3173.776375546874,1204.9193821434085,0.953212816273488,74,21,17,0.5526315789473685,Gurobi.Optimizer
VLP Schwerin,2025-07-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,59,0,0,20,20,1.0,16,102,30.761841535568237,4526.737895592918,1900.1902737807532,1.0401637473885001,99,39,20,0.6610169491525424,Gurobi.Optimizer
VLP Schwerin,2025-07-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,86,74,0,0,12,12,1.0,20,102,46.64092469215393,5648.387860316336,2048.1360000060195,1.0601287304595464,98,39,35,0.527027027027027,Gurobi.Optimizer
VLP Schwerin,2025-07-31,CAPACITY_CONSTRAINT_DRIVER_BREAKS,87,66,0,0,21,21,1.0,15,102,54.78132081031799,5097.541463808053,2243.7884851354984,1.119275228179741,108,40,26,0.6060606060606061,Gurobi.Optimizer
VLP Schwerin,2025-08-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,99,76,0,0,23,23,1.0,17,102,63.93934941291809,5219.318967598534,2114.4889108780844,1.3847416975849582,122,45,31,0.5921052631578947,Gurobi.Optimizer
VLP Schwerin,2025-08-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,79,64,0,0,15,15,1.0,19,102,46.16645932197571,5540.29899281217,2169.0563886569735,1.1409735306445155,94,22,42,0.34375,Gurobi.Optimizer
VLP Schwerin,2025-08-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,56,41,0,0,15,15,1.0,15,102,14.36013913154602,3638.5793144169193,1433.6943435190785,0.9345665677381729,71,14,27,0.34146341463414637,Gurobi.Optimizer
VLP Schwerin,2025-08-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,82,68,1,0,13,13,0.9855072463768116,15,102,41.705130100250244,4831.4101345021445,2023.1196524983015,1.1660332102518938,95,35,34,0.5072463768115942,Gurobi.Optimizer
VLP Schwerin,2025-08-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,100,75,1,0,24,24,0.9868421052631579,17,102,51.26346397399902,5351.981229294869,2277.1625938675575,1.0710434043086865,124,43,33,0.5657894736842105,Gurobi.Optimizer
VLP Schwerin,2025-08-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,101,76,0,0,25,25,1.0,16,102,102.04394173622131,5572.834296178023,1865.3500121487073,1.0881362639488192,126,40,36,0.5263157894736842,Gurobi.Optimizer
VLP Schwerin,2025-08-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,116,82,0,0,34,34,1.0,14,102,134.71596932411194,4852.810452627542,1773.323814209604,1.1530282390778055,150,52,30,0.6341463414634146,Gurobi.Optimizer
VLP Schwerin,2025-08-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,66,0,0,25,25,1.0,15,102,60.94377017021179,4894.765741007108,1873.8970075810332,1.0868287759855353,116,38,28,0.5757575757575758,Gurobi.Optimizer
VLP Schwerin,2025-08-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,83,65,0,1,17,18,1.0,19,102,23.803738117218018,4770.39905766825,1318.9765679751317,0.9629755474580817,100,21,44,0.3230769230769231,Gurobi.Optimizer
VLP Schwerin,2025-08-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,82,67,1,0,14,14,0.9852941176470589,20,102,31.078548431396484,4891.077853653562,1965.8141312728073,1.057058654861255,96,28,40,0.4117647058823529,Gurobi.Optimizer
VLP Schwerin,2025-08-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,102,82,0,0,20,20,1.0,16,102,121.32912373542786,4916.119993542215,1643.187931195208,1.1499511749976477,122,45,37,0.5487804878048781,Gurobi.Optimizer
VLP Schwerin,2025-08-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,85,63,0,0,22,22,1.0,18,102,50.52695918083191,4182.89385990981,1104.2596706999586,1.2862883359691422,107,35,28,0.5555555555555556,Gurobi.Optimizer
VLP Schwerin,2025-08-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,75,58,0,0,17,17,1.0,16,102,34.45405697822571,4213.492398339186,1396.7894591591412,1.0533837768294876,92,37,21,0.6379310344827587,Gurobi.Optimizer
VLP Schwerin,2025-08-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,100,66,0,0,34,34,1.0,18,102,100.39483737945557,5222.7040466724275,1840.327257515188,1.0318493179296753,134,44,22,0.6666666666666666,Gurobi.Optimizer
VLP Schwerin,2025-08-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,95,75,3,0,17,17,0.9615384615384616,18,102,62.086883783340454,5416.115652665823,2091.1618312941855,1.1750929584137066,112,36,42,0.46153846153846156,Gurobi.Optimizer
