depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,total_demand_coverage,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.01,Optimal,0.38929550000466406,1,102,1.0,72.72615871007889,0.0,0.7142857142857143,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.02,Optimal,0.39963991701370105,1,102,1.0,95.78673637331434,0.0,1.7333333333333334,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.03,Optimal,0.40008658304577693,1,102,1.0,95.78673637331434,0.0,1.7333333333333334,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.04,Optimal,0.396038833016064,1,102,1.0,95.78673637331434,0.0,1.7333333333333334,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.05,Optimal,0.3975917500210926,1,102,1.0,95.78673637331434,0.0,1.7333333333333334,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.06,Optimal,0.3755502080311999,1,102,1.0,434.0075712923501,306.63038905788903,2.1052631578947367,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.07,Optimal,0.393360375019256,1,102,1.0,434.0075712923501,306.63038905788903,2.1052631578947367,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.08,Optimal,2.513475459010806,1,102,1.0,424.0272826742224,287.77360491251204,2.046153846153846,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.09,Optimal,2.4713035830063745,1,102,1.0,424.0272826742224,287.77360491251204,2.046153846153846,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.1,Optimal,0.387103958055377,1,102,1.0,424.0272826742224,178.3996996879294,1.916030534351145,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.11,Optimal,0.3834930000011809,1,102,1.0,424.0272826742224,178.3996996879294,1.916030534351145,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.12,Optimal,0.4033313330146484,1,102,1.0,424.0272826742224,178.3996996879294,1.916030534351145,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.13,Optimal,0.3962993749883026,1,102,1.0,424.0272826742224,178.3996996879294,1.916030534351145,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.14,Optimal,0.38262954202946275,1,102,1.0,424.0272826742224,178.3996996879294,1.916030534351145,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.15,Optimal,0.3862332499702461,1,102,1.0,424.0272826742224,178.3996996879294,1.916030534351145,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.16,Optimal,0.36935537500539795,1,102,1.0,424.0272826742224,169.035379448205,1.631578947368421,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.17,Optimal,0.37307095900177956,1,102,1.0,424.0272826742224,169.035379448205,1.631578947368421,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.18,Optimal,0.36147850000998005,1,102,1.0,424.0272826742224,127.7867448847025,1.6222222222222222,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.19,Optimal,0.369946249993518,1,102,1.0,424.0272826742224,127.7867448847025,1.6222222222222222,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.2,Optimal,0.37368945899652317,2,102,2.0,496.7534413843013,178.3996996879294,1.3151581243184296,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.21,Optimal,0.38619454100262374,2,102,2.0,496.7534413843013,178.3996996879294,1.3151581243184296,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.22,Optimal,0.3836111670243554,2,102,2.0,784.6705702748498,269.4393140538304,1.3345486111111111,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.23,Optimal,0.3659034169977531,2,102,2.0,784.6705702748498,269.4393140538304,1.3345486111111111,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.24,Optimal,0.3708915419992991,2,102,2.0,900.2085749412886,346.5725418292106,1.6785345717234263,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.25,Optimal,0.38182450004387647,2,102,2.0,900.2085749412886,346.5725418292106,1.6785345717234263,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.26,Optimal,0.5173779169563204,2,102,2.0,928.2559192253924,329.1958274895489,1.5244225672093905,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.27,Optimal,0.3867838339647278,2,102,2.0,900.2085749412886,346.5725418292106,1.6785345717234263,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.28,Optimal,0.37752312497468665,2,102,2.0,900.2085749412886,346.5725418292106,1.6785345717234263,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.29,Optimal,0.45322079199831933,2,102,2.0,899.861321264829,307.28999623941394,1.742483660130719,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.3,Optimal,0.373815624974668,2,102,2.0,899.861321264829,307.28999623941394,1.742483660130719,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.31,Optimal,0.3862645410117693,2,102,2.0,900.2085749412886,362.88167479980456,1.696434634974533,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.32,Optimal,0.3906628330005333,2,102,2.0,900.2085749412886,362.88167479980456,1.696434634974533,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.33,Optimal,0.4021242079907097,2,102,2.0,900.2085749412886,329.02227946973534,1.695906432748538,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.34,Optimal,0.4194333329796791,2,102,2.0,900.2085749412886,329.02227946973534,1.695906432748538,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.35,Optimal,0.35921591700753197,2,102,2.0,900.2085749412886,287.77364490623285,1.6912280701754385,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.36,Optimal,0.38691991701489314,2,102,2.0,900.2085749412886,287.77364490623285,1.6912280701754385,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.37,Optimal,0.41570058395154774,3,102,3.0,972.9347336513675,287.77364490623285,1.3655806182121972,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.38,Optimal,0.40679108403855935,3,102,3.0,972.9347336513675,287.77364490623285,1.3655806182121972,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.39,Optimal,0.4857556670322083,3,102,3.0,1289.971529497547,591.2922344297966,1.4678362573099415,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.4,Optimal,0.48991191695677117,3,102,3.0,1289.971529497547,591.2922344297966,1.4678362573099415,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.41,Optimal,0.6476280000060797,3,102,3.0,1347.940920512684,447.91113210822635,1.6780515683147261,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.42,Optimal,0.6673106670496054,3,102,3.0,1347.940920512684,447.91113210822635,1.6780515683147261,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.43,Optimal,0.47437895799521357,3,102,3.0,1353.1957352081495,470.9626828768656,1.6967419680662295,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.44,Optimal,0.49065779201919213,3,102,3.0,1353.1957352081495,470.9626828768656,1.6967419680662295,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.45,Optimal,0.3976734169991687,3,102,3.0,1347.5936668362242,417.85998203598564,1.7071747675198925,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.46,Optimal,0.38750625000102445,3,102,3.0,1347.5936668362242,417.85998203598564,1.7071747675198925,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.47,Optimal,0.393668083997909,3,102,3.0,1347.5936668362242,452.62500009724255,1.7181247193135567,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.48,Optimal,0.3989527089870535,3,102,3.0,1347.5936668362242,452.62500009724255,1.7181247193135567,0.0
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.49,Optimal,0.38171204196987674,3,102,3.0,1347.5936668362242,452.62500009724255,1.7181247193135567,0.0
