depot_name,date,setting,total_demands,confirmed_demands,rejected_demands,service_level,num_buses,num_potential_buses,total_solve_time,total_operational_duration,total_waiting_time,avg_capacity_utilization,iterations,operator_served,operator_rejected,operator_service_level,optimizer_constructor
VLP Boizenburg,2025-06-26,CAPACITY_CONSTRAINT_DRIVER_BREAKS,78,77,1,0.9871794871794872,17,102,24.399659395217896,5053.533421432365,2084.8619711949723,1.0959949494235923,78,50,27,0.6493506493506493,Gurobi.Optimizer
VLP Boizenburg,2025-06-27,CAPACITY_CONSTRAINT_DRIVER_BREAKS,85,84,1,0.9882352941176471,22,102,45.586437940597534,5019.3452871892605,1951.0792722101814,1.1123600272617056,85,52,33,0.611764705882353,Gurobi.Optimizer
VLP Boizenburg,2025-06-28,CAPACITY_CONSTRAINT_DRIVER_BREAKS,94,94,0,1.0,17,102,54.05996108055115,4472.953067544634,1230.9158337044923,1.343149623747397,94,52,42,0.5531914893617021,Gurobi.Optimizer
VLP Boizenburg,2025-06-29,CAPACITY_CONSTRAINT_DRIVER_BREAKS,62,62,0,1.0,16,102,17.865395545959473,3693.632078654841,1220.1782164839528,1.4455223060071407,62,42,20,0.6774193548387096,Gurobi.Optimizer
VLP Boizenburg,2025-06-30,CAPACITY_CONSTRAINT_DRIVER_BREAKS,83,83,0,1.0,18,102,33.42809772491455,5076.3281990238165,1742.3413134846455,1.1499729362283602,83,49,32,0.6049382716049383,Gurobi.Optimizer
VLP Boizenburg,2025-07-01,CAPACITY_CONSTRAINT_DRIVER_BREAKS,74,72,2,0.972972972972973,17,102,22.603803396224976,4773.488629949636,1881.582665025181,1.2803549667148248,74,42,31,0.5753424657534246,Gurobi.Optimizer
VLP Boizenburg,2025-07-02,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,91,0,1.0,21,102,40.95240306854248,5721.334124034239,2406.513240395134,1.140742030795753,91,44,47,0.4835164835164835,Gurobi.Optimizer
VLP Boizenburg,2025-07-03,CAPACITY_CONSTRAINT_DRIVER_BREAKS,105,105,0,1.0,21,102,46.35446906089783,6047.454317930369,2444.261332381467,1.1747846052176132,105,60,45,0.5714285714285714,Gurobi.Optimizer
VLP Boizenburg,2025-07-04,CAPACITY_CONSTRAINT_DRIVER_BREAKS,94,94,0,1.0,21,102,35.15584468841553,6091.661405810031,2202.698471388752,1.0949006292943158,94,54,39,0.5806451612903226,Gurobi.Optimizer
VLP Boizenburg,2025-07-05,CAPACITY_CONSTRAINT_DRIVER_BREAKS,86,86,0,1.0,17,102,28.393442392349243,5155.572031397849,2018.2375111113008,1.175008233239708,86,53,33,0.6162790697674418,Gurobi.Optimizer
VLP Boizenburg,2025-07-06,CAPACITY_CONSTRAINT_DRIVER_BREAKS,64,63,1,0.984375,14,102,15.679362773895264,3459.683294544076,1396.0965875123577,1.1783450791189092,64,44,20,0.6875,Gurobi.Optimizer
VLP Boizenburg,2025-07-07,CAPACITY_CONSTRAINT_DRIVER_BREAKS,99,98,1,0.98989898989899,17,102,50.41398239135742,5514.6781738275195,2158.443499289752,1.2816912663306044,99,65,33,0.6632653061224489,Gurobi.Optimizer
VLP Boizenburg,2025-07-08,CAPACITY_CONSTRAINT_DRIVER_BREAKS,74,74,0,1.0,19,102,40.38410472869873,5025.468932260344,1739.9861940420392,1.1294792245886054,74,49,25,0.6621621621621622,Gurobi.Optimizer
VLP Boizenburg,2025-07-09,CAPACITY_CONSTRAINT_DRIVER_BREAKS,86,86,0,1.0,15,102,44.165717363357544,5081.927667692057,1973.3861269140998,1.1760916342612566,86,54,32,0.627906976744186,Gurobi.Optimizer
VLP Boizenburg,2025-07-10,CAPACITY_CONSTRAINT_DRIVER_BREAKS,87,86,1,0.9885057471264368,18,102,41.8154776096344,5879.5303453964425,2365.700410282698,1.1169457476499671,87,54,33,0.6206896551724138,Gurobi.Optimizer
VLP Boizenburg,2025-07-11,CAPACITY_CONSTRAINT_DRIVER_BREAKS,97,97,0,1.0,21,102,37.0678985118866,5881.492653885595,2218.3320877556034,1.2824661823795276,97,63,34,0.6494845360824743,Gurobi.Optimizer
VLP Boizenburg,2025-07-12,CAPACITY_CONSTRAINT_DRIVER_BREAKS,97,96,1,0.9896907216494846,23,102,27.074492692947388,5529.992360640932,2055.0405193894157,1.1871205405494125,97,67,30,0.6907216494845361,Gurobi.Optimizer
VLP Boizenburg,2025-07-13,CAPACITY_CONSTRAINT_DRIVER_BREAKS,70,70,0,1.0,16,102,21.585763454437256,4262.794456836131,1371.4651051776896,1.3095747994771114,70,54,16,0.7714285714285715,Gurobi.Optimizer
VLP Boizenburg,2025-07-14,CAPACITY_CONSTRAINT_DRIVER_BREAKS,84,84,0,1.0,22,102,31.80832290649414,6391.10746550552,2724.1021273271085,1.1090007087489597,84,51,33,0.6071428571428571,Gurobi.Optimizer
VLP Boizenburg,2025-07-15,CAPACITY_CONSTRAINT_DRIVER_BREAKS,91,91,0,1.0,20,102,41.99261498451233,5787.925857535722,2290.3065437824553,1.1704665639164025,91,51,40,0.5604395604395604,Gurobi.Optimizer
VLP Boizenburg,2025-07-16,CAPACITY_CONSTRAINT_DRIVER_BREAKS,109,109,0,1.0,23,102,43.73751616477966,6552.8357527419985,2549.4022247822772,1.2706520509920183,109,57,52,0.5229357798165137,Gurobi.Optimizer
VLP Boizenburg,2025-07-17,CAPACITY_CONSTRAINT_DRIVER_BREAKS,101,101,0,1.0,23,102,49.58682084083557,5730.2974687399055,1992.1955783836977,1.2040142183566336,101,52,49,0.5148514851485149,Gurobi.Optimizer
VLP Boizenburg,2025-07-18,CAPACITY_CONSTRAINT_DRIVER_BREAKS,113,113,0,1.0,23,102,80.69298386573792,6580.759462091514,2458.637817513596,1.344667624637749,113,50,63,0.4424778761061947,Gurobi.Optimizer
