depot_name,date,problem_type,setting,subsetting,service_level,solver_status,solve_time,num_buses,num_potential_buses,total_operational_duration,total_waiting_time,avg_capacity_utilization,optimality_gap,filter_demand
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.23,Optimal,0.6026957035064697,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.24,Optimal,0.6037900447845459,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.25,Optimal,0.6071929931640625,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.26,Optimal,0.6048541069030762,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.27,Optimal,0.5973026752471924,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.28,Optimal,0.5854496955871582,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.29,Optimal,0.5855991840362549,1,102,491.71522083991727,204.32092523269569,2.4,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.3,Optimal,0.6049537658691406,2,102,531.853833135573,204.32092523269569,1.6285714285714286,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.31,Optimal,0.6003820896148682,2,102,531.853833135573,204.32092523269569,1.6285714285714286,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.32,Optimal,0.8000249862670898,2,102,984.0517759286347,516.4727315085285,2.1875426039536467,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.33,Optimal,0.793039083480835,2,102,984.0517759286347,516.4727315085285,2.1875426039536467,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.34,Optimal,0.61590576171875,2,102,906.3338354270678,432.5969123722915,2.2677570093457944,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.35,Optimal,0.6154398918151855,2,102,906.3338354270678,432.5969123722915,2.2677570093457944,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.36,Optimal,0.8051345348358154,2,102,645.71223699029,271.21497928499537,2.5403615991851285,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.37,Optimal,0.8024487495422363,2,102,645.71223699029,271.21497928499537,2.5403615991851285,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.38,Optimal,0.6173150539398193,2,102,906.3338354270678,454.1694363021355,2.1480519480519478,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.39,Optimal,0.6201739311218262,2,102,906.3338354270678,454.1694363021355,2.1480519480519478,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.4,Optimal,0.6102287769317627,2,102,795.2706410777058,350.8934224038968,2.463800088800089,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.41,Optimal,0.6099646091461182,2,102,795.2706410777058,350.8934224038968,2.463800088800089,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.42,Optimal,0.6274237632751465,2,102,906.3338354270678,400.83336411452535,2.2931174089068826,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.43,Optimal,0.6278500556945801,2,102,906.3338354270678,400.83336411452535,2.2931174089068826,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.44,Optimal,0.628443717956543,2,102,963.5200259958466,452.53498721509357,2.3467824548333023,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.45,Optimal,0.6237142086029053,2,102,963.5200259958466,452.53498721509357,2.3467824548333023,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.46,Optimal,0.8845477104187012,2,102,977.2550147407161,438.941867169228,2.3121959026888605,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.47,Optimal,0.8941855430603027,2,102,977.2550147407161,438.941867169228,2.3121959026888605,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.48,Optimal,0.6291377544403076,2,102,963.5200259958466,423.2355771213669,2.316057961646197,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.49,Optimal,0.6322705745697021,2,102,963.5200259958466,423.2355771213669,2.316057961646197,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.5,Optimal,0.6279246807098389,2,102,963.5200259958466,423.2355771213669,2.316057961646197,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.51,Optimal,0.6547164916992188,3,102,1017.3936270363718,410.9464354533212,1.7605680868838762,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.52,Optimal,0.6492371559143066,3,102,1017.3936270363718,410.9464354533212,1.7605680868838762,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.53,Optimal,1.1633312702178955,3,102,1328.1670440802968,701.1336926097175,2.2901662234042557,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.54,Optimal,1.1343472003936768,3,102,1328.1670440802968,701.1336926097175,2.2901662234042557,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.55,Optimal,0.8554446697235107,3,102,1314.2605100010846,633.0392862267216,2.326518296755059,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.56,Optimal,0.8575010299682617,3,102,1314.2605100010846,633.0392862267216,2.326518296755059,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.57,Optimal,0.9508168697357178,3,102,1458.117952612854,681.6512032719025,1.9280918051687328,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.58,Optimal,0.957857608795166,3,102,1458.117952612854,681.6512032719025,1.9280918051687328,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.59,Optimal,0.8637208938598633,3,102,1451.3211914249355,673.8112584496615,1.888187134502924,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.6,Optimal,0.871619701385498,3,102,1451.3211914249355,673.8112584496615,1.888187134502924,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.61,Optimal,1.215864658355713,4,102,1727.8846931040225,879.1829375657181,1.988576176983435,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.62,Optimal,1.209540605545044,4,102,1727.8846931040225,879.1829375657181,1.988576176983435,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.63,Optimal,0.6998631954193115,4,102,1690.114607990877,857.6802885369876,2.0817324398113675,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.64,Optimal,0.697904109954834,4,102,1690.114607990877,857.6802885369876,2.0817324398113675,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.65,Optimal,0.8683536052703857,4,102,1897.3927352585224,930.4407244161944,1.8858450875486383,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.66,Optimal,0.8578813076019287,4,102,1897.3927352585224,930.4407244161944,1.8858450875486383,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.67,Optimal,0.662346363067627,4,102,1885.7869576662295,982.7733932156937,2.0308854697299963,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.68,Optimal,0.6630241870880127,4,102,1885.7869576662295,982.7733932156937,2.0308854697299963,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.69,Optimal,0.7563579082489014,4,102,1909.6226501453762,1018.1009526537767,2.0508233489022762,0.0,true
VLP Boizenburg,2024-08-22,Maximize_Demand_Coverage,CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,0.7,Optimal,0.7589175701141357,4,102,1909.6226501453762,1018.1009526537767,2.0508233489022762,0.0,true
