setting,subsetting,avg_potential_buses,avg_buses_optimal,num_infeasible_solves,num_timelimit_solves,avg_solve_time_seconds,avg_gap_timelimit_percent
NO_CAPACITY_CONSTRAINT,ALL_LINES,55.0,23.33,0,0,0.12,NaN
NO_CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,55.0,5.33,0,0,0.0,NaN
NO_CAPACITY_CONSTRAINT,ONLY_DEMAND,55.0,4.5,0,0,0.0,NaN
CAPACITY_CONSTRAINT,ALL_LINES,90.0,0.0,0,6,7200.65,6.666666666666666e101
CAPACITY_CONSTRAINT,ALL_LINES_WITH_DEMAND,90.0,5.33,0,0,49.48,NaN
CAPACITY_CONSTRAINT,ONLY_DEMAND,90.0,4.5,0,0,1.74,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES,102.0,0.0,6,0,0.13,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ALL_LINES_WITH_DEMAND,102.0,12.0,0,0,0.54,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS,ONLY_DEMAND,102.0,9.5,0,0,0.08,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES,17.0,0.0,6,0,0.02,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ALL_LINES_WITH_DEMAND,17.0,0.0,6,0,0.01,NaN
CAPACITY_CONSTRAINT_DRIVER_BREAKS_AVAILABLE,ONLY_DEMAND,17.0,0.0,6,0,0.01,NaN
